"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/TR_LTBD","AYDIN/CILDIR airport","","TR_LTBD","valid","2015-06-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/EL_LGEL","ELEFSIS airport","","EL_LGEL","valid","2016-01-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/TR_LTCB","AGRI airport","","TR_LTCB","valid","2016-05-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/TR_LTCW","HAKKARI/YUKSEKOVA SELAHADDIN EYYUBI airport","","TR_LTCW","valid","2016-05-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/DE_EDWI","WILHELMSHAVEN JADEWESER airport","","DE_EDWI","valid","2016-09-27"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/PT_LPPM","PORTIMAO airport","","PT_LPPM","valid","2016-12-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/ME_LYPG","PODGORICA airport","","ME_LYPG","valid","2016-12-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/ME_LYTV","TIVAT airport","","ME_LYTV","valid","2016-12-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/HU_LHPR","GYOR/PER airport","","HU_LHPR","valid","2017-07-12"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/DE_EDBF","RUPPINER LAND airport","","DE_EDBF","valid","2017-10-13"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/DE_EDVM","HILDESHEIM airport","","DE_EDVM","valid","2017-10-13"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/PT_LPVZ","VISEU airport","","PT_LPVZ","valid","2017-10-13"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/RS_LYBE","BEOGRAD/NIKOLA TESLA airport","","RS_LYBE","valid","2018-09-05"
"http://dd.eionet.europa.eu/vocabulary/eurostat/rep_airp/RS_LYNI","NIS airport","","RS_LYNI","valid","2018-09-05"
