"URI","Label","Definition","Notation","Status","AcceptedDate","skos:exactMatch"
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EU28_PPS_EMP","Percentage of EU28 total (based on (based on purchasing power standards per employed person)","","PC_EU28_PPS_EMP","valid","2014-02-11",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/TD","Tonnes per day","","TD","valid","2014-02-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PE_TD","Tonnes of population equivalent per day","","PE_TD","valid","2014-02-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_GBA","Percentage of total GBAORD","","PC_GBA","valid","2014-02-24",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/I_LY","Index, latest year = 100","","I_LY","valid","2014-05-02",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/I_1Y","Index, t-1 = 100","","I_1Y","valid","2014-05-02",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/SEI","Shannon evenness index","","SEI","valid","2014-05-02",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/SDI","Shannon diversity index","","SDI","valid","2014-05-02",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PCH_5Y_CPI05_NAC","Price index - percentage change (t/t-5), based on 2005=100 and national currency","","PCH_5Y_CPI05_NAC","valid","2014-05-02",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/THS_M2","Thousand square metres","","THS_M2","valid","2014-05-02",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/THS_PER","Thousand persons","","THS_PER","valid","2014-05-02",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EU28_PPS_HRS","Percentage of EU28 total (based on (based on purchasing power standards per hours worked)","","PC_EU28_PPS_HRS","valid","2014-05-16",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EU28_PPS_HR","","","PC_EU28_PPS_HR","invalid","2014-05-16",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EU27_PPS_HR","","","PC_EU27_PPS_HR","invalid","2014-05-16",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EU28_MIO_EUR","Percentage of EU28 total (based on million euro)","","PC_EU28_MIO_EUR","invalid","2014-05-16",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EU28_MIO_PPS","Percentage of EU28 total (based on million PPS)","","PC_EU28_MIO_PPS","invalid","2014-05-16",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EU28_MEUR","Percentage of EU28 total (based on million euro)","","PC_EU28_MEUR","valid","2014-05-16",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EU27_MEUR","Percentage of EU27 total (based on million euro)","","PC_EU27_MEUR","valid","2014-05-16",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EU25_MEUR","Percentage of EU25 total (based on million euro)","","PC_EU25_MEUR","valid","2014-05-16",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EU28_MPPS","Percentage of EU28 total (based on million purchasing power standards)","","PC_EU28_MPPS","valid","2014-05-16",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EU27_MPPS","Percentage of EU27 total (based on million purchasing power standards)","","PC_EU27_MPPS","valid","2014-05-16",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EA_MPPS","Percentage of euro area total (based on million purchasing power standards)","","PC_EA_MPPS","valid","2014-05-16",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EA_MEUR","Percentage of euro area total (based on million euro)","","PC_EA_MEUR","valid","2014-05-16",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EA18_MIO_EUR","Percentage of EA18 total (based on million euro)","","PC_EA18_MIO_EUR","invalid","2014-05-16",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EA18_MIO_PPS","Percentage of EA18 total (based on million PPS)","","PC_EA18_MIO_PPS","invalid","2014-05-16",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EA18_MEUR","Percentage of EA18 total (based on million euro)","","PC_EA18_MEUR","valid","2014-05-16",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EA17_MEUR","Percentage of EA17 total (based on million euro)","","PC_EA17_MEUR","valid","2014-05-16",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EA16_MEUR","Percentage of EA16 total (based on million euro)","","PC_EA16_MEUR","valid","2014-05-16",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EA12_MEUR","Percentage of EA12 total (based on million euro)","","PC_EA12_MEUR","valid","2014-05-16",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EA18_MPPS","Percentage of EA18 total (based on million purchasing power standards)","","PC_EA18_MPPS","valid","2014-05-16",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EA17_MPPS","Percentage of EA17 total (based on million purchasing power standards)","","PC_EA17_MPPS","valid","2014-05-16",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_EA16_MPPS","Percentage of EA16 total (based on million purchasing power standards)","","PC_EA16_MPPS","valid","2014-05-16",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MNAC_CP","Million units of national currency, current prices","","MNAC_CP","invalid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MEUR_CP","Million euro, current prices","","MEUR_CP","invalid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MPPS_CP","Million PPS, current prices","","MPPS_CP","invalid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MNAC_PYP","Million units of national currency, previous year prices","","MNAC_PYP","invalid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MEUR_PYP","Million euro, previous year prices","","MEUR_PYP","invalid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MNAC_CLV10","Million units of national currency, chain linked volumes (2010)","","MNAC_CLV10","invalid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MEUR_CLV10","Million euro, chain-linked volumes, reference year 2010 (at 2010 exchange rates)","","MEUR_CLV10","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MNAC_CLV05","Million units of national currency, chain linked volumes (2005)","","MNAC_CLV05","invalid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/MEUR_CLV05","Million euro, chain linked volumes (2005)","","MEUR_CLV05","invalid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_STU","Percentage of total tertiary students","","PC_STU","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_FSTU","Percentage of total foreign tertiary students","","PC_FSTU","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_Y25-29","Percentage of total population aged 25-29","","PC_Y25-29","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_Y20-29","Percentage of total population aged 20-29","","PC_Y20-29","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_TOT_PER","Percentage of total (based on persons)","","PC_TOT_PER","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/PC_TOT_HW","Percentage of total (based on hours worked)","","PC_TOT_HW","valid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/I05_EUR","Index, 2005=100, euro","","I05_EUR","invalid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/I10_EUR","Index, 2010=100, euro","","I10_EUR","invalid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/I05_PER","Index, 2005=100 (based on persons)","","I05_PER","invalid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/I05_HW","Index, 2005=100 (based on hours worked)","","I05_HW","invalid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/I05_JOB","Index, 2005=100 (based on jobs)","","I05_JOB","invalid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/I05_FTE","Index, 2005=100 (based on full-time equivalents)","","I05_FTE","invalid","2014-07-09",
"http://dd.eionet.europa.eu/vocabulary/eurostat/unit/I10_PER","Index, 2010=100 (based on persons)","","I10_PER","valid","2014-07-09",
